transaction_id,politician,ticker,transaction_type,owner,asset_type,amount_mid,log_amount_mid,disclosure_delay_days,ou_zscore,filing_date,excess_return_30d,beat_market_30d
7507,Sheldon Whitehouse,F,Sale (Full),Joint,,8000.5,8.987384303086046,8,1.9377654949977592,2014-11-18,-0.008448430181801081,0
7509,Sheldon Whitehouse,DHR,Sale (Partial),Self,,32500.5,10.389041521098926,8,1.118886838517553,2014-11-18,0.038607606847895104,1
7485,Susan M Collins,INTC,Sale (Full),Spouse,,8000.5,8.987384303086046,21,1.7902511654985238,2014-12-01,0.0017533287847659729,1
7486,Susan M Collins,GILD,Purchase,Spouse,,8000.5,8.987384303086046,21,-0.6620049767401767,2014-12-01,0.010984676576749064,1
7487,Susan M Collins,XOM,Purchase,Spouse,,8000.5,8.987384303086046,21,-1.3676385799960593,2014-12-01,-0.004447930255008781,0
7488,Susan M Collins,DD,Purchase,Spouse,,8000.5,8.987384303086046,21,-1.2762900483377637,2014-12-01,-0.0736505422034327,0
7489,Susan M Collins,COP,Purchase,Spouse,,8000.5,8.987384303086046,21,-1.3478992132515313,2014-12-01,-0.05217817359617061,0
7490,Susan M Collins,CVX,Sale (Full),Spouse,,8000.5,8.987384303086046,21,-1.5349418946480642,2014-12-01,-0.046265547213927616,0
7491,Susan M Collins,AAPL,Purchase,Spouse,,8000.5,8.987384303086046,21,0.45039725236599354,2014-12-01,-0.021984057350775355,0
7495,Susan M Collins,T,Sale (Full),Spouse,,8000.5,8.987384303086046,21,-0.2639655306384791,2014-12-01,-0.025529921207944506,0
7465,Pat Roberts,NFLX,Purchase,Spouse,,32500.5,10.389041521098926,26,-0.5060133736366746,2014-12-03,-0.01995556600302728,0
7451,Patrick J Toomey,PFS,Sale (Full),Self,,8000.5,8.987384303086046,12,1.201564219586778,2014-12-29,0.00638669212398979,1
7452,Patrick J Toomey,T,Purchase,Self,,32500.5,10.389041521098926,11,0.8775291562307042,2014-12-29,0.0167848143671554,1
7453,Patrick J Toomey,PFS,Sale (Partial),Self,,8000.5,8.987384303086046,11,1.201564219586778,2014-12-29,0.00638669212398979,1
7428,Pat Roberts,XOM,Sale (Full),Spouse,Stock,8000.5,8.987384303086046,24,-0.4200532314867907,2015-01-05,-0.033717152945912154,0
7429,Pat Roberts,BA,Purchase,Spouse,Stock,8000.5,8.987384303086046,17,0.31643844774450314,2015-01-05,0.12971491832363724,1
7430,Pat Roberts,BAC,Sale (Full),Spouse,Stock,8000.5,8.987384303086046,24,-0.40835277009006177,2015-01-05,-0.10383186126717714,0
7432,Sheldon Whitehouse,TJX,Purchase,Spouse,,8000.5,8.987384303086046,18,0.3736559286226545,2015-01-05,-0.034697405300130324,0
7433,Sheldon Whitehouse,ORCL,Purchase,Child,,8000.5,8.987384303086046,18,0.16395141465465132,2015-01-05,-0.029991578771881633,0
7434,Sheldon Whitehouse,T,Purchase,Child,,8000.5,8.987384303086046,18,0.267227762347936,2015-01-05,-0.013673559400318336,0
7437,Sheldon Whitehouse,IBM,Sale (Partial),Child,,8000.5,8.987384303086046,41,0.032282423400029785,2015-01-05,-0.024890067909683955,0
7440,Sheldon Whitehouse,PRU,Purchase,Joint,,8000.5,8.987384303086046,41,-0.5769303087591551,2015-01-05,-0.12982903520037736,0
7441,Sheldon Whitehouse,AMGN,Purchase,Self,,32500.5,10.389041521098926,18,-0.8816470134791017,2015-01-05,-0.05567974051416702,0
7444,Sheldon Whitehouse,ABBV,Purchase,Self,,8000.5,8.987384303086046,18,-0.8489246630752648,2015-01-05,-0.12537282824231089,0
7449,Sheldon Whitehouse,M,Purchase,Self,,8000.5,8.987384303086046,41,0.9496372481780949,2015-01-05,-0.06641121443210474,0
7406,Susan M Collins,CVS,Purchase,Spouse,Stock,8000.5,8.987384303086046,16,0.8785753887476548,2015-01-29,0.012454579649562314,1
7408,Susan M Collins,AAPL,Purchase,Spouse,Stock,8000.5,8.987384303086046,16,2.1564958660911593,2015-01-29,0.020434044077340285,1
